SKU,PRECO
4582451683965,437
4902111782799,437
4987241173242,712
4987107624796,1980
4909978102586,2780
4987241198764,602
4987241198849,602
4987241168248,3300
4987241189618,3300
4971710577754,987
4901301415363,1078
4901872471997,1298
4909978147112,2600
4909978147105,3058
4901301447876,1600
